clave,clave_yahoo,nombre
AC,AC.MX,"ARCA CONTINENTAL, S.A.B. DE C.V."
ACCELSA,ACCELSAB.MX,"ACCEL, S.A.B. DE C.V."
ACTINVR,ACTINVRB.MX,"CORPORACION ACTINVER, S.A.B. DE C.V."
AEROMEX,AEROMEX.MX,"GRUPO AEROMÉXICO, S.A.B. DE C.V."
AHMSA,AHMSA.MX,"ALTOS HORNOS DE MEXICO, S.A. DE C.V."
ALFA,ALFAA.MX,"ALFA, S.A.B. DE C.V."
ALSEA,ALSEA.MX,"ALSEA, S.A.B. DE C.V."
AMX,AMXA.MX,"AMERICA MOVIL, S.A.B. DE C.V."
ARA,ARA.MX,"CONSORCIO ARA, S.A.B. DE C.V."
ARISTOS,ARISTOSA.MX,"CONSORCIO ARISTOS, S.A.B. DE C.V."
ASUR,ASURB.MX,"GRUPO AEROPORTUARIO DEL SURESTE, S.A.B. DE C.V."
AUTLAN,AUTLANB.MX,"COMPAÑIA MINERA AUTLAN, S.A.B. DE C. V."
AXTEL,AXTELCPO.MX,"AXTEL, S.A.B. DE C.V."
AZTECA,AZTECACPO.MX,"TV AZTECA, S.A.B. DE C.V."
BACHOCO,BACHOCOB.MX,"INDUSTRIAS BACHOCO, S.A.B. DE C.V."
BAFAR,BAFARB.MX,"GRUPO BAFAR, S.A.B. DE C.V."
BBVA,BBVA.MX,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
BEVIDES,BEVIDESB.MX,"FARMACIAS BENAVIDES, S.A.B. DE C.V."
BIMBO,BIMBOA.MX,"GRUPO BIMBO, S.A.B. DE C.V."
BOLSA,BOLSAA.MX,"BOLSA MEXICANA DE VALORES, S.A.B. DE C.V."
C,C.MX,CITIGROUP INC.
CABLE,CABLECPO.MX,"EMPRESAS CABLEVISION, S.A. DE C.V."
CEMEX,CEMEXCPO.MX,"CEMEX, S.A.B. DE C.V."
CERAMIC,CERAMICB.MX,"INTERNACIONAL DE CERAMICA, S.A.B. DE C.V."
CHDRAUI,CHDRAUIB.MX,"GRUPO COMERCIAL CHEDRAUI, S.A.B. DE C.V."
CIDMEGA,CIDMEGA.MX,"GRUPE, S.A.B. DE C.V."
CIE,CIEB.MX,"CORPORACION INTERAMERICANA DE ENTRETENIMIENTO, S.A.B. DE C.V."
CMOCTEZ,CMOCTEZ.MX,"CORPORACION MOCTEZUMA, S.A.B. DE C.V."
CMR,CMRB.MX,"CMR, S.A.B. DE C.V."
COLLADO,COLLADO.MX,"G COLLADO, S.A.B. DE C.V."
COMERCI,COMERCIUBC.MX,"CONTROLADORA COMERCIAL MEXICANA, S.A.B. DE C.V."
CONVER,CONVERA.MX,"CONVERTIDORA INDUSTRIAL, S.A.B. DE C.V."
CULTIBA,CULTIBAB.MX,"ORGANIZACIÓN CULTIBA, S.A.B. DE CV"
CYDSASA,CYDSASAA.MX,"CYDSA, S.A.B. DE C.V."
DINE,DINEB.MX,"DINE, S.A.B. DE C.V."
EDOARDO,EDOARDOB.MX,"EDOARDOS MARTIN, S.A.B. DE C.V."
ELEKTRA,ELEKTRA.MX,"GRUPO ELEKTRA, S.A.B. DE C.V."
FEMSA,FEMSAUBD.MX,"FOMENTO ECONÓMICO MEXICANO, S.A.B. DE C.V."
FINAMEX,FINAMEXO.MX,"CASA DE BOLSA FINAMEX, S.A.B. DE C.V."
FINDEP,FINDEP.MX,"FINANCIERA INDEPENDENCIA, S.A.B. DE C.V. SOFOM, E.N.R."
FRAGUA,FRAGUAB.MX,"CORPORATIVO FRAGUA, S.A.B. DE C.V."
FRES,FRES.MX,FRESNILLO PLC
GAP,GAPB.MX,"GRUPO AEROPORTUARIO DEL PACIFICO, S.A.B. DE C.V."
GBM,GBMO.MX,"CORPORATIVO GBM, S.A.B. DE C. V."
GCARSO,GCARSOA1.MX,"GRUPO CARSO, S.A.B. DE C.V."
GCC,GCC.MX,"GRUPO CEMENTOS DE CHIHUAHUA, S.A.B. DE C.V."
GENSEG,GENSEG.MX,"GENERAL DE SEGUROS, S.A.B."
GENTERA,GENTERA.MX,"COMPARTAMOS, S.A.B. DE C.V."
GEO,GEOB.MX,"CORPORACION GEO, S.A.B. DE C.V."
GFAMSA,GFAMSAA.MX,"GRUPO FAMSA, S.A.B. DE C.V."
GFINBUR,GFINBURO.MX,"GRUPO FINANCIERO INBURSA, S.A.B. DE C.V."
GFINTER,GFINTERO.MX,"GRUPO FINANCIERO INTERACCIONES, S.A. DE C.V."
GFMULTI,GFMULTIO.MX,GRUPO FINANCIERO MULTIVA S.A.B. DE C.V.
GFNORTE,GFNORTEO.MX,"GRUPO FINANCIERO BANORTE, S.A.B DE C.V."
GFREGIO,GFREGIOO.MX,"BANREGIO GRUPO FINANCIERO, S.A.B. DE C.V."
GIGANTE,GIGANTE.MX,"GRUPO GIGANTE, S.A.B. DE C.V."
GISSA,GISSAA.MX,"GRUPO INDUSTRIAL SALTILLO, S.A.B. DE C.V."
GMACMA,GMACMAB.MX,"GRUPO MAC MA, S.A.B. DE C.V."
GMD,GMD.MX,"GRUPO MEXICANO DE DESARROLLO, S.A.B."
GMEXICO,GMEXICOB.MX,"GRUPO MEXICO, S.A.B. DE C.V."
GMODELO,GMODELOC.MX,"GRUPO MODELO, S.A.B. DE C.V."
GNP,GNP.MX,"GRUPO NACIONAL PROVINCIAL, S.A.B."
GOMO,GOMO.MX,"GRUPO COMERCIAL GOMO, S.A. DE C.V."
GPH,GPH1.MX,"GRUPO PALACIO DE HIERRO, S.A.B. DE C.V."
GPROFUT,GPROFUT.MX,"GRUPO PROFUTURO, S.A.B. DE C.V."
GRUMA,GRUMAB.MX,"GRUMA, S.A.B. DE C.V."
GSANBOR,NONEXISTUM.NA,"GRUPO SANBORNS, S.A.B. DE C.V."
HCITY,NONEXISTUM.NA,"HOTELES CITY EXPRESS, S.A.B. DE C.V."
HERDEZ,HERDEZ.MX,"GRUPO HERDEZ, S.A.B. DE C.V."
HILASAL,HILASALA.MX,HILASAL MEXICANA S.A.B. DE C.V.
HOGAR,HOGARB.MX,"CONSORCIO HOGAR, S.A.B. DE C.V."
HOMEX,HOMEX.MX,"DESARROLLADORA HOMEX, S.A.B. DE C.V."
