Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2007-12-24,14.4,14.4,14.4,14.4,6995600,13.58,BAFARB.MX
2008-01-03,14.4,14.4,14.4,14.4,138600,13.58,BAFARB.MX
2008-01-08,14.4,14.4,14.35,14.4,1700,13.58,BAFARB.MX
2008-01-31,14.4,14.4,14.4,14.4,1500,13.58,BAFARB.MX
2008-02-01,14.4,14.4,14.4,14.4,1800,13.58,BAFARB.MX
2008-02-05,14.4,14.4,14.4,14.4,155800,13.58,BAFARB.MX
2008-02-06,14.4,14.4,14.4,14.4,7300,13.58,BAFARB.MX
2008-02-20,14.0,14.0,14.0,14.0,12400,13.2,BAFARB.MX
2008-02-25,13.9,14.4,13.9,14.4,96200,13.58,BAFARB.MX
2008-02-26,14.4,14.4,14.4,14.4,4100,13.58,BAFARB.MX
2008-03-07,14.39,14.39,14.39,14.39,1500,13.57,BAFARB.MX
2008-03-26,14.2,14.4,14.2,14.4,2841500,13.58,BAFARB.MX
2008-03-28,14.75,14.75,14.75,14.75,1000,13.91,BAFARB.MX
2008-04-02,14.75,14.8,14.75,14.8,4200900,13.96,BAFARB.MX
2008-04-24,14.8,14.8,14.8,14.8,41500,13.96,BAFARB.MX
2008-06-24,14.73,14.73,14.73,14.73,0,13.96,BAFARB.MX
2008-08-27,14.73,14.73,14.73,14.73,86200,13.96,BAFARB.MX
2008-08-29,14.73,14.73,14.73,14.73,310900,13.96,BAFARB.MX
2008-09-10,14.6,14.6,14.6,14.6,753300,13.84,BAFARB.MX
2008-09-29,14.59,14.59,14.59,14.59,12400,13.83,BAFARB.MX
2008-10-01,14.59,14.59,14.59,14.59,0,13.83,BAFARB.MX
2008-11-21,14.5,14.59,14.5,14.5,2199700,13.74,BAFARB.MX
2008-12-04,14.5,14.5,14.5,14.5,294600,13.74,BAFARB.MX
2008-12-24,14.5,14.5,14.5,14.5,1930300,13.74,BAFARB.MX
2008-12-26,14.5,14.5,14.5,14.5,1723000,13.74,BAFARB.MX
2008-12-29,14.52,14.52,14.52,14.52,2865500,13.76,BAFARB.MX
2008-12-30,14.52,14.52,14.52,14.52,839600,13.76,BAFARB.MX
2009-01-26,14.52,14.52,14.52,14.52,1395400,13.76,BAFARB.MX
2009-01-27,14.52,14.52,14.52,14.52,1392300,13.76,BAFARB.MX
2009-02-05,14.51,14.51,14.51,14.51,101300,13.75,BAFARB.MX
