Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2008-06-18,16.15,16.9,16.0,16.67,37229400,8.34,LABB.MX
2008-06-19,16.67,16.67,16.21,16.54,2317800,8.27,LABB.MX
2008-06-20,16.5,16.6,16.0,16.53,1317200,8.27,LABB.MX
2008-06-23,16.4,16.4,16.1,16.38,345000,8.19,LABB.MX
2008-06-24,16.0,16.11,16.0,16.01,3692600,8.01,LABB.MX
2008-06-25,16.0,16.19,16.0,16.02,455600,8.01,LABB.MX
2008-06-26,16.0,16.02,16.0,16.0,3516400,8.0,LABB.MX
2008-06-27,16.0,16.01,15.8,15.8,1733000,7.9,LABB.MX
2008-06-30,15.9,15.95,15.88,15.9,647800,7.95,LABB.MX
2008-07-01,15.8,15.9,15.6,15.7,1097800,7.85,LABB.MX
2008-07-02,15.8,15.81,15.4,15.4,824400,7.7,LABB.MX
2008-07-03,15.42,15.42,14.8,14.8,654600,7.4,LABB.MX
2008-07-04,14.8,14.8,14.8,14.8,106600,7.4,LABB.MX
2008-07-07,15.0,15.0,14.8,14.8,283000,7.4,LABB.MX
2008-07-08,14.8,14.85,14.5,14.55,623400,7.28,LABB.MX
2008-07-09,14.6,14.6,14.5,14.5,601800,7.25,LABB.MX
2008-07-10,14.5,14.5,14.4,14.4,729400,7.2,LABB.MX
2008-07-11,14.4,14.4,14.4,14.4,31200,7.2,LABB.MX
2008-07-14,14.0,14.39,14.0,14.39,66800,7.2,LABB.MX
2008-07-15,14.39,14.4,13.99,14.0,273000,7.0,LABB.MX
2008-07-16,14.21,14.4,14.2,14.3,749800,7.15,LABB.MX
2008-07-17,14.3,15.1,14.3,14.99,1673000,7.49,LABB.MX
2008-07-18,15.01,15.07,14.74,15.0,8330600,7.5,LABB.MX
2008-07-21,15.11,15.16,15.11,15.16,2004000,7.58,LABB.MX
2008-07-22,15.0,15.2,15.0,15.2,638400,7.6,LABB.MX
2008-07-23,15.2,15.29,15.0,15.0,114000,7.5,LABB.MX
2008-07-24,15.2,15.2,15.0,15.0,214000,7.5,LABB.MX
2008-07-25,15.0,15.0,15.0,15.0,1000000,7.5,LABB.MX
2008-07-28,15.03,15.25,15.03,15.25,1598000,7.62,LABB.MX
2008-07-29,15.27,15.31,15.26,15.31,1551600,7.66,LABB.MX
2008-07-30,15.31,15.5,15.31,15.5,761000,7.75,LABB.MX
2008-07-31,15.5,15.5,15.5,15.5,754200,7.75,LABB.MX
2008-08-01,15.5,15.5,15.35,15.35,40200,7.68,LABB.MX
2008-08-04,15.4,15.4,15.25,15.35,1753000,7.68,LABB.MX
2008-08-05,15.37,15.51,15.37,15.5,1658400,7.75,LABB.MX
2008-08-06,15.5,15.7,15.5,15.7,275800,7.85,LABB.MX
2008-08-07,15.95,16.0,15.7,15.9,210600,7.95,LABB.MX
2008-08-08,15.95,16.0,15.95,16.0,303200,8.0,LABB.MX
2008-08-11,15.8,15.8,15.8,15.8,130000,7.9,LABB.MX
2008-08-12,15.8,15.8,15.5,15.51,1001800,7.76,LABB.MX
2008-08-13,15.51,15.6,15.5,15.51,1968400,7.76,LABB.MX
2008-08-14,15.8,15.8,15.51,15.51,0,7.76,LABB.MX
2008-08-15,15.6,16.0,15.6,15.9,1022600,7.95,LABB.MX
2008-08-18,15.88,15.91,15.88,15.9,758600,7.95,LABB.MX
2008-08-19,16.0,16.02,15.9,15.9,31800,7.95,LABB.MX
2008-08-20,15.9,16.3,15.9,16.16,1371800,8.08,LABB.MX
2008-08-21,16.1,16.1,16.1,16.1,32600,8.05,LABB.MX
2008-08-22,16.1,16.18,16.01,16.04,316000,8.02,LABB.MX
2008-08-25,16.05,16.35,16.05,16.29,224400,8.15,LABB.MX
2008-08-26,16.16,16.18,16.0,16.0,3027200,8.0,LABB.MX
2008-08-27,16.1,16.1,16.0,16.05,161000,8.02,LABB.MX
2008-08-28,16.0,16.01,16.0,16.0,101400,8.0,LABB.MX
2008-08-29,16.01,16.4,16.01,16.38,226600,8.19,LABB.MX
2008-09-01,16.01,16.03,16.01,16.03,70600,8.02,LABB.MX
2008-09-02,16.1,16.2,16.0,16.2,135000,8.1,LABB.MX
2008-09-03,16.05,16.51,16.05,16.5,1521200,8.25,LABB.MX
2008-09-04,16.4,16.45,16.25,16.45,2727800,8.23,LABB.MX
2008-09-05,16.45,16.45,16.25,16.45,188600,8.23,LABB.MX
2008-09-08,16.5,16.8,16.5,16.77,416000,8.39,LABB.MX
2008-09-09,16.82,16.85,16.25,16.44,544600,8.22,LABB.MX
2008-09-10,16.5,16.51,16.45,16.5,1448400,8.25,LABB.MX
2008-09-11,16.5,16.5,16.35,16.4,107800,8.2,LABB.MX
2008-09-12,16.4,16.5,16.26,16.26,344800,8.13,LABB.MX
2008-09-15,16.0,16.0,15.96,15.96,44000,7.98,LABB.MX
2008-09-17,16.0,16.0,15.35,15.35,388000,7.68,LABB.MX
2008-09-18,14.9,14.9,14.1,14.49,131000,7.24,LABB.MX
2008-09-19,15.0,15.05,14.7,14.95,5960800,7.47,LABB.MX
2008-09-22,15.0,15.0,15.0,15.0,4400,7.5,LABB.MX
2008-09-23,15.0,15.0,15.0,15.0,19600,7.5,LABB.MX
2008-09-24,15.0,15.0,14.8,14.8,291200,7.4,LABB.MX
2008-09-25,14.8,15.5,14.7,14.7,66400,7.35,LABB.MX
2008-09-26,14.5,14.5,14.2,14.32,1781200,7.16,LABB.MX
2008-09-29,14.32,14.32,13.99,14.0,2650200,7.0,LABB.MX
2008-09-30,14.0,14.0,13.99,14.0,304200,7.0,LABB.MX
2008-10-01,14.0,14.0,14.0,14.0,1119800,7.0,LABB.MX
2008-10-02,14.0,14.5,14.0,14.5,61800,7.25,LABB.MX
2008-10-03,15.0,15.01,14.9,14.9,119600,7.45,LABB.MX
2008-10-06,13.5,13.5,12.7,13.0,1221600,6.5,LABB.MX
2008-10-07,13.0,13.01,12.61,12.77,2109000,6.39,LABB.MX
2008-10-08,11.78,12.5,11.7,11.78,0,5.89,LABB.MX
2008-10-09,11.5,11.7,11.45,11.64,865800,5.82,LABB.MX
2008-10-10,11.63,11.65,11.56,11.57,660800,5.78,LABB.MX
2008-10-13,11.6,11.78,11.6,11.78,20400,5.89,LABB.MX
2008-10-14,12.9,13.55,12.9,13.55,1886400,6.78,LABB.MX
2008-10-15,13.6,13.7,13.6,13.7,1041400,6.85,LABB.MX
2008-10-16,14.0,14.3,14.0,14.3,200000,7.15,LABB.MX
2008-10-17,14.7,15.0,14.7,14.8,774600,7.4,LABB.MX
2008-10-20,14.8,14.8,14.5,14.5,21600,7.25,LABB.MX
2008-10-21,14.49,14.5,14.49,14.49,207800,7.24,LABB.MX
2008-10-22,14.0,14.5,13.15,14.11,713600,7.05,LABB.MX
2008-10-23,13.5,13.5,13.35,13.44,494400,6.72,LABB.MX
2008-10-24,13.44,13.5,13.3,13.45,131800,6.72,LABB.MX
2008-10-27,13.45,13.45,12.95,12.95,225600,6.47,LABB.MX
2008-10-28,13.19,13.19,12.6,12.9,251800,6.45,LABB.MX
2008-10-29,12.9,12.9,12.1,12.35,141000,6.18,LABB.MX
2008-10-30,12.35,13.0,12.35,12.75,4728400,6.38,LABB.MX
2008-10-31,13.61,13.75,12.76,13.61,0,6.8,LABB.MX
2008-11-03,13.3,13.3,13.3,13.3,10000,6.65,LABB.MX
2008-11-04,13.3,13.5,13.3,13.3,52000,6.65,LABB.MX
2008-11-05,13.3,13.3,13.0,13.0,2155800,6.5,LABB.MX
2008-11-06,13.0,13.0,12.75,12.8,21400,6.4,LABB.MX
2008-11-07,12.8,12.8,12.2,12.25,301200,6.12,LABB.MX
2008-11-10,11.54,12.25,11.5,11.54,0,5.77,LABB.MX
2008-11-11,11.54,11.76,11.3,11.33,766000,5.66,LABB.MX
2008-11-12,11.05,11.05,10.9,11.0,600600,5.5,LABB.MX
2008-11-13,11.0,11.5,11.0,11.03,487200,5.51,LABB.MX
2008-11-14,11.1,11.1,10.5,10.75,264400,5.38,LABB.MX
2008-11-18,10.75,10.75,10.01,10.01,0,5.01,LABB.MX
2008-11-19,10.0,10.75,10.0,10.0,0,5.0,LABB.MX
2008-11-20,9.75,10.0,9.75,9.75,158200,4.88,LABB.MX
2008-11-21,9.6,9.6,9.45,9.6,316400,4.8,LABB.MX
2008-11-24,9.75,10.2,9.71,9.75,208400,4.88,LABB.MX
2008-11-25,9.75,10.0,9.0,9.99,580800,4.99,LABB.MX
2008-11-26,9.75,9.75,9.25,9.42,224200,4.71,LABB.MX
2008-11-27,9.58,10.0,9.25,9.47,98400,4.74,LABB.MX
2008-11-28,9.47,9.99,9.47,9.99,74000,4.99,LABB.MX
2008-12-01,10.0,10.0,9.01,9.53,356200,4.76,LABB.MX
2008-12-02,10.0,10.0,10.0,10.0,2000,5.0,LABB.MX
2008-12-03,9.7,9.7,9.25,9.68,4800,4.84,LABB.MX
2008-12-04,9.98,10.35,9.0,9.59,1162200,4.8,LABB.MX
2008-12-05,10.5,10.5,10.4,10.45,1056400,5.22,LABB.MX
2008-12-08,10.49,10.5,9.9,10.4,239800,5.2,LABB.MX
2008-12-09,10.4,10.4,10.14,10.14,56600,5.07,LABB.MX
2008-12-10,9.86,10.5,9.82,10.4,132000,5.2,LABB.MX
2008-12-11,9.57,10.4,9.55,9.57,0,4.78,LABB.MX
2008-12-15,9.6,9.6,9.15,9.15,11241400,4.57,LABB.MX
2008-12-16,9.45,9.5,8.9,9.0,339000,4.5,LABB.MX
2008-12-17,9.11,9.11,8.75,8.99,187600,4.49,LABB.MX
2008-12-18,9.4,9.4,8.85,9.0,433200,4.5,LABB.MX
2008-12-19,9.0,9.4,8.97,9.35,8002800,4.68,LABB.MX
2008-12-22,9.55,9.55,9.39,9.39,452400,4.7,LABB.MX
2008-12-23,9.54,9.54,9.2,9.4,528600,4.7,LABB.MX
2008-12-24,9.22,9.42,9.22,9.4,21000,4.7,LABB.MX
2008-12-26,9.55,9.55,9.1,9.5,10800,4.75,LABB.MX
2008-12-29,9.7,9.7,9.0,9.55,3496600,4.78,LABB.MX
2008-12-30,9.3,9.4,9.3,9.4,4600,4.7,LABB.MX
2008-12-31,9.55,9.7,9.4,9.69,80800,4.84,LABB.MX
2009-01-02,9.69,9.99,9.69,9.99,1000,4.99,LABB.MX
2009-01-05,9.95,10.01,9.4,9.57,900400,4.78,LABB.MX
2009-01-06,9.57,11.0,9.57,10.62,4096800,5.31,LABB.MX
2009-01-07,10.2,10.49,10.06,10.34,455800,5.17,LABB.MX
2009-01-08,10.34,10.34,9.99,9.99,207800,4.99,LABB.MX
2009-01-09,9.99,10.0,9.85,9.98,20400,4.99,LABB.MX
2009-01-12,9.57,9.61,9.5,9.51,107200,4.76,LABB.MX
2009-01-13,9.52,9.75,9.04,9.59,5600,4.8,LABB.MX
2009-01-14,9.44,9.44,8.55,8.98,165800,4.49,LABB.MX
2009-01-15,8.75,8.85,7.64,8.73,2372200,4.36,LABB.MX
2009-01-16,8.75,8.75,8.45,8.5,152200,4.25,LABB.MX
2009-01-19,8.5,8.5,8.49,8.49,14200,4.24,LABB.MX
2009-01-20,8.41,8.41,7.86,8.16,307600,4.08,LABB.MX
2009-01-21,8.0,8.0,7.94,7.98,133000,3.99,LABB.MX
2009-01-22,7.85,7.85,7.5,7.59,132400,3.8,LABB.MX
2009-01-23,7.59,7.62,7.4,7.58,464400,3.79,LABB.MX
2009-01-26,7.73,7.95,7.6,7.63,302000,3.82,LABB.MX
2009-01-27,7.67,7.83,7.6,7.83,1485200,3.91,LABB.MX
2009-01-28,7.93,8.5,7.9,8.46,944800,4.23,LABB.MX
2009-01-29,8.23,8.5,8.23,8.5,38200,4.25,LABB.MX
2009-01-30,8.3,8.6,8.25,8.6,9800,4.3,LABB.MX
2009-02-03,8.6,8.75,8.55,8.75,207400,4.38,LABB.MX
2009-02-04,8.8,9.2,8.8,9.19,372800,4.59,LABB.MX
2009-02-05,9.07,9.23,8.5,9.18,73000,4.59,LABB.MX
2009-02-06,9.35,9.4,9.25,9.4,902000,4.7,LABB.MX
2009-02-09,9.2,9.2,8.9,8.9,51800,4.45,LABB.MX
2009-02-10,8.7,8.9,7.8,8.54,2671000,4.27,LABB.MX
2009-02-11,8.54,8.54,8.4,8.4,1089600,4.2,LABB.MX
2009-02-12,8.19,8.19,7.96,8.11,1486200,4.05,LABB.MX
2009-02-13,8.0,8.5,7.75,8.1,2464600,4.05,LABB.MX
2009-02-16,8.24,8.85,8.2,8.61,207200,4.3,LABB.MX
2009-02-17,8.31,8.41,8.0,8.13,86200,4.07,LABB.MX
2009-02-18,8.24,8.24,8.1,8.1,76800,4.05,LABB.MX
2009-02-19,8.1,8.14,7.65,7.89,5933400,3.94,LABB.MX
2009-02-20,7.89,7.89,7.6,7.65,99600,3.83,LABB.MX
2009-02-23,7.6,7.6,7.3,7.35,237200,3.67,LABB.MX
2009-02-24,7.34,7.34,7.15,7.25,71400,3.62,LABB.MX
2009-02-25,7.25,7.25,7.01,7.07,157800,3.54,LABB.MX
2009-02-26,7.1,8.0,7.1,7.5,169200,3.75,LABB.MX
2009-02-27,7.51,8.0,7.51,8.0,318400,4.0,LABB.MX
2009-03-02,8.0,8.0,7.78,8.0,768200,4.0,LABB.MX
2009-03-03,7.99,7.99,7.75,7.89,30400,3.94,LABB.MX
2009-03-04,7.71,8.0,7.6,7.95,140800,3.97,LABB.MX
2009-03-05,7.75,7.75,7.2,7.69,135400,3.85,LABB.MX
