Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2010-12-01,7.11,7.25,7.05,7.11,505500,7.11,MAXCOMCPO.MX
2010-12-02,7.04,7.15,6.94,7.04,1955500,7.04,MAXCOMCPO.MX
2010-12-03,6.98,7.12,6.94,6.98,983500,6.98,MAXCOMCPO.MX
2010-12-06,7.02,7.04,6.9,7.02,1127100,7.02,MAXCOMCPO.MX
2010-12-07,6.97,7.07,6.94,6.97,1408500,6.97,MAXCOMCPO.MX
2010-12-08,6.93,7.02,6.9,6.93,1163700,6.93,MAXCOMCPO.MX
2010-12-09,6.95,6.98,6.91,6.95,427000,6.95,MAXCOMCPO.MX
2010-12-10,6.96,7.1,6.95,6.96,588000,6.96,MAXCOMCPO.MX
2010-12-13,7.03,7.06,6.95,7.03,617600,7.03,MAXCOMCPO.MX
2010-12-14,6.8,7.07,6.75,6.8,2766700,6.8,MAXCOMCPO.MX
2010-12-15,6.45,6.75,6.42,6.45,2945900,6.45,MAXCOMCPO.MX
2010-12-16,6.28,6.5,6.22,6.28,1663800,6.28,MAXCOMCPO.MX
2010-12-17,6.33,6.44,6.22,6.33,295400,6.33,MAXCOMCPO.MX
2010-12-20,6.3,6.47,6.28,6.3,528600,6.3,MAXCOMCPO.MX
2010-12-21,6.25,6.37,6.22,6.25,420400,6.25,MAXCOMCPO.MX
2010-12-22,6.29,6.45,6.2,6.29,774800,6.29,MAXCOMCPO.MX
2010-12-23,6.29,6.39,6.25,6.29,349900,6.29,MAXCOMCPO.MX
2010-12-24,6.38,6.4,6.25,6.38,260200,6.38,MAXCOMCPO.MX
2010-12-27,6.31,6.45,6.3,6.31,133400,6.31,MAXCOMCPO.MX
2010-12-28,6.32,6.39,6.3,6.32,230300,6.32,MAXCOMCPO.MX
2010-12-29,6.44,6.44,6.3,6.44,341500,6.44,MAXCOMCPO.MX
2010-12-30,6.49,6.57,6.4,6.49,559600,6.49,MAXCOMCPO.MX
2010-12-31,6.52,6.55,6.36,6.52,248500,6.52,MAXCOMCPO.MX
2011-01-03,6.44,6.55,6.4,6.44,190000,6.44,MAXCOMCPO.MX
2011-01-04,6.4,6.53,6.35,6.4,220300,6.4,MAXCOMCPO.MX
2011-01-05,6.4,6.43,6.32,6.4,172800,6.4,MAXCOMCPO.MX
2011-01-06,6.34,6.46,6.31,6.34,239900,6.34,MAXCOMCPO.MX
2011-01-07,6.32,6.39,6.27,6.32,671300,6.32,MAXCOMCPO.MX
2011-01-10,6.29,6.39,6.25,6.29,208100,6.29,MAXCOMCPO.MX
2011-01-11,6.26,6.38,6.25,6.26,845600,6.26,MAXCOMCPO.MX
2011-01-12,6.38,6.44,6.26,6.38,679500,6.38,MAXCOMCPO.MX
2011-01-13,6.4,6.46,6.33,6.4,2376400,6.4,MAXCOMCPO.MX
2011-01-14,6.39,6.43,6.35,6.39,389300,6.39,MAXCOMCPO.MX
2011-01-17,6.34,6.43,6.34,6.34,208000,6.34,MAXCOMCPO.MX
2011-01-18,6.37,6.4,6.31,6.37,813400,6.37,MAXCOMCPO.MX
2011-01-19,6.37,6.4,6.32,6.37,351100,6.37,MAXCOMCPO.MX
2011-01-20,6.32,6.41,6.31,6.32,689700,6.32,MAXCOMCPO.MX
2011-01-21,6.3,6.39,6.29,6.3,644200,6.3,MAXCOMCPO.MX
2011-01-24,6.35,6.36,6.29,6.35,742000,6.35,MAXCOMCPO.MX
2011-01-25,6.31,6.44,6.3,6.31,447400,6.31,MAXCOMCPO.MX
2011-01-26,6.25,6.4,6.21,6.25,1031300,6.25,MAXCOMCPO.MX
2011-01-27,6.22,6.28,6.15,6.22,700600,6.22,MAXCOMCPO.MX
2011-01-28,6.23,6.27,6.15,6.23,344100,6.23,MAXCOMCPO.MX
2011-01-31,6.27,6.32,6.12,6.27,327300,6.27,MAXCOMCPO.MX
2011-02-01,6.35,6.45,6.18,6.35,148300,6.35,MAXCOMCPO.MX
2011-02-02,6.67,6.77,6.27,6.67,2013700,6.67,MAXCOMCPO.MX
2011-02-03,6.54,6.69,6.45,6.54,257400,6.54,MAXCOMCPO.MX
2011-02-04,6.4,6.54,6.35,6.4,659900,6.4,MAXCOMCPO.MX
2011-02-08,6.32,6.53,6.24,6.32,335700,6.32,MAXCOMCPO.MX
2011-02-09,6.28,6.37,6.21,6.28,193400,6.28,MAXCOMCPO.MX
2011-02-10,6.27,6.35,6.2,6.27,395400,6.27,MAXCOMCPO.MX
2011-02-11,6.25,6.28,6.12,6.25,351900,6.25,MAXCOMCPO.MX
2011-02-14,6.3,6.3,6.28,6.3,92300,6.3,MAXCOMCPO.MX
2011-02-15,6.45,6.57,6.27,6.45,1865200,6.45,MAXCOMCPO.MX
2011-02-16,6.25,6.55,6.2,6.25,1113100,6.25,MAXCOMCPO.MX
2011-02-17,6.37,6.48,6.27,6.37,1518000,6.37,MAXCOMCPO.MX
2011-02-18,6.34,6.57,6.3,6.34,812900,6.34,MAXCOMCPO.MX
2011-02-21,6.44,6.5,6.34,6.44,477200,6.44,MAXCOMCPO.MX
2011-02-22,6.39,6.5,6.35,6.39,1295700,6.39,MAXCOMCPO.MX
2011-02-23,6.35,6.4,6.28,6.35,437100,6.35,MAXCOMCPO.MX
2011-02-24,5.97,6.4,5.72,5.97,3166200,5.97,MAXCOMCPO.MX
2011-02-25,5.97,6.0,5.83,5.97,501800,5.97,MAXCOMCPO.MX
2011-02-28,6.11,6.18,5.91,6.11,746200,6.11,MAXCOMCPO.MX
2011-03-02,6.29,6.31,6.22,6.29,188100,6.29,MAXCOMCPO.MX
2011-03-03,6.21,6.33,6.13,6.21,262900,6.21,MAXCOMCPO.MX
2011-03-04,6.19,6.21,6.1,6.19,613300,6.19,MAXCOMCPO.MX
2011-03-07,6.18,6.19,6.15,6.18,168200,6.18,MAXCOMCPO.MX
2011-03-08,6.18,6.26,6.15,6.18,411300,6.18,MAXCOMCPO.MX
2011-03-09,6.15,6.17,6.1,6.15,222800,6.15,MAXCOMCPO.MX
2011-03-10,5.96,6.15,5.9,5.96,640500,5.96,MAXCOMCPO.MX
2011-03-11,5.89,6.1,5.82,5.89,267600,5.89,MAXCOMCPO.MX
2011-03-14,5.92,5.96,5.82,5.92,428400,5.92,MAXCOMCPO.MX
2011-03-15,5.9,5.95,5.81,5.9,166700,5.9,MAXCOMCPO.MX
2011-03-16,5.89,6.0,5.83,5.89,286700,5.89,MAXCOMCPO.MX
2011-03-17,5.88,5.98,5.83,5.88,287000,5.88,MAXCOMCPO.MX
2011-03-18,5.91,5.94,5.83,5.91,235900,5.91,MAXCOMCPO.MX
2011-03-22,5.98,6.0,5.82,5.98,109400,5.98,MAXCOMCPO.MX
2011-03-23,5.9,6.0,5.86,5.9,480000,5.9,MAXCOMCPO.MX
2011-03-28,5.93,5.94,5.9,5.93,100200,5.93,MAXCOMCPO.MX
2011-03-29,5.94,5.96,5.9,5.94,128600,5.94,MAXCOMCPO.MX
2011-03-30,5.86,5.95,5.82,5.86,330300,5.86,MAXCOMCPO.MX
2011-03-31,5.8,5.9,5.78,5.8,750700,5.8,MAXCOMCPO.MX
2011-04-04,5.71,5.88,5.65,5.71,1073100,5.71,MAXCOMCPO.MX
2011-04-06,5.74,5.82,5.71,5.74,848900,5.74,MAXCOMCPO.MX
2011-04-07,5.72,5.8,5.68,5.72,582400,5.72,MAXCOMCPO.MX
2011-04-08,6.01,6.2,5.71,6.01,4638100,6.01,MAXCOMCPO.MX
2011-04-11,5.89,6.3,5.81,5.89,2165400,5.89,MAXCOMCPO.MX
2011-04-12,5.77,5.94,5.73,5.77,988800,5.77,MAXCOMCPO.MX
2011-04-13,5.78,5.93,5.75,5.78,335100,5.78,MAXCOMCPO.MX
2011-04-14,5.61,5.82,5.53,5.61,1006100,5.61,MAXCOMCPO.MX
2011-04-15,5.44,5.69,5.38,5.44,1988700,5.44,MAXCOMCPO.MX
2011-04-18,5.21,5.43,5.16,5.21,685900,5.21,MAXCOMCPO.MX
2011-04-19,5.26,5.34,5.18,5.26,307600,5.26,MAXCOMCPO.MX
2011-04-20,5.23,5.5,5.2,5.23,490600,5.23,MAXCOMCPO.MX
2011-04-29,5.35,5.44,5.23,5.26,389200,5.26,MAXCOMCPO.MX
2011-05-02,5.24,5.41,5.19,5.24,556600,5.24,MAXCOMCPO.MX
2011-05-03,5.18,5.24,5.11,5.18,410500,5.18,MAXCOMCPO.MX
2011-05-04,5.12,5.25,5.06,5.12,479300,5.12,MAXCOMCPO.MX
2011-05-05,5.1,5.15,5.04,5.1,309700,5.1,MAXCOMCPO.MX
2011-05-06,5.09,5.2,5.0,5.09,454300,5.09,MAXCOMCPO.MX
2011-05-10,4.99,5.05,4.91,4.99,674300,4.99,MAXCOMCPO.MX
2011-05-11,4.93,5.03,4.82,4.93,297300,4.93,MAXCOMCPO.MX
2011-05-12,4.93,4.95,4.76,4.93,495200,4.93,MAXCOMCPO.MX
2011-05-25,5.13,5.15,4.93,5.13,500200,5.13,MAXCOMCPO.MX
2011-05-26,5.0,5.1,4.95,5.0,326800,5.0,MAXCOMCPO.MX
2011-05-27,5.0,5.03,4.93,5.0,72300,5.0,MAXCOMCPO.MX
2011-05-30,5.02,5.07,4.95,5.02,167800,5.02,MAXCOMCPO.MX
2011-05-31,4.85,5.14,4.75,4.85,821400,4.85,MAXCOMCPO.MX
2011-06-01,4.81,4.89,4.72,4.81,336800,4.81,MAXCOMCPO.MX
2011-06-02,4.69,4.8,4.68,4.69,861300,4.69,MAXCOMCPO.MX
2011-06-03,4.6,4.7,4.57,4.6,1176500,4.6,MAXCOMCPO.MX
2011-06-06,4.59,4.65,4.52,4.59,695400,4.59,MAXCOMCPO.MX
2011-06-07,4.59,4.65,4.53,4.59,124600,4.59,MAXCOMCPO.MX
2011-06-08,4.62,4.96,4.59,4.62,633000,4.62,MAXCOMCPO.MX
2011-06-09,4.67,4.77,4.65,4.67,251700,4.67,MAXCOMCPO.MX
2011-06-10,4.63,4.74,4.55,4.63,277200,4.63,MAXCOMCPO.MX
2011-06-13,4.6,4.69,4.55,4.6,454300,4.6,MAXCOMCPO.MX
2011-06-14,4.65,4.67,4.58,4.65,197000,4.65,MAXCOMCPO.MX
2011-06-15,4.62,4.64,4.58,4.62,101200,4.62,MAXCOMCPO.MX
2011-06-16,4.72,4.8,4.64,4.72,696800,4.72,MAXCOMCPO.MX
2011-06-17,4.72,4.8,4.6,4.72,459400,4.72,MAXCOMCPO.MX
2011-06-20,4.77,4.8,4.72,4.77,301500,4.77,MAXCOMCPO.MX
2011-06-21,4.75,4.79,4.72,4.75,147500,4.75,MAXCOMCPO.MX
2011-06-22,4.76,4.89,4.72,4.76,560900,4.76,MAXCOMCPO.MX
2011-06-23,4.68,4.72,4.61,4.68,111800,4.68,MAXCOMCPO.MX
2011-06-24,4.64,4.7,4.6,4.64,549900,4.64,MAXCOMCPO.MX
2011-06-27,4.66,4.7,4.48,4.66,257700,4.66,MAXCOMCPO.MX
2011-06-28,4.67,4.76,4.66,4.67,572500,4.67,MAXCOMCPO.MX
2011-06-29,4.73,4.85,4.69,4.73,1069400,4.73,MAXCOMCPO.MX
2011-06-30,4.69,4.79,4.65,4.69,508000,4.69,MAXCOMCPO.MX
2011-07-04,4.71,4.72,4.63,4.71,108300,4.71,MAXCOMCPO.MX
2011-07-05,4.7,4.71,4.63,4.7,136400,4.7,MAXCOMCPO.MX
2011-07-06,4.68,4.74,4.61,4.68,269000,4.68,MAXCOMCPO.MX
2011-07-07,4.92,4.94,4.65,4.92,2006000,4.92,MAXCOMCPO.MX
2011-07-08,4.85,4.9,4.78,4.85,91500,4.85,MAXCOMCPO.MX
2011-07-11,4.76,4.85,4.65,4.76,282200,4.76,MAXCOMCPO.MX
2011-07-12,4.72,4.78,4.65,4.72,195700,4.72,MAXCOMCPO.MX
2011-07-13,4.74,4.84,4.67,4.74,268600,4.74,MAXCOMCPO.MX
2011-07-14,4.82,4.82,4.6,4.82,385000,4.82,MAXCOMCPO.MX
2011-07-15,4.66,4.79,4.65,4.66,229800,4.66,MAXCOMCPO.MX
2011-07-18,4.44,4.69,4.36,4.44,998500,4.44,MAXCOMCPO.MX
2011-07-19,4.5,4.58,4.46,4.5,506900,4.5,MAXCOMCPO.MX
2011-07-20,4.5,4.56,4.32,4.5,935700,4.5,MAXCOMCPO.MX
2011-07-21,4.39,4.49,4.32,4.39,1244800,4.39,MAXCOMCPO.MX
2011-07-22,4.39,4.4,4.35,4.39,607400,4.39,MAXCOMCPO.MX
2011-07-25,4.33,4.44,4.3,4.33,286900,4.33,MAXCOMCPO.MX
2011-07-26,4.31,4.4,4.3,4.31,325600,4.31,MAXCOMCPO.MX
2011-07-27,4.17,4.38,4.1,4.17,268800,4.17,MAXCOMCPO.MX
2011-07-28,4.07,4.22,4.02,4.07,228100,4.07,MAXCOMCPO.MX
2011-07-29,4.17,4.18,4.05,4.17,366800,4.17,MAXCOMCPO.MX
2011-08-01,4.23,4.3,4.13,4.23,345200,4.23,MAXCOMCPO.MX
2011-08-02,4.19,4.24,4.11,4.19,530000,4.19,MAXCOMCPO.MX
2011-08-03,4.15,4.19,4.08,4.15,369200,4.15,MAXCOMCPO.MX
2011-08-04,3.95,4.15,3.85,3.95,247500,3.95,MAXCOMCPO.MX
2011-08-05,3.8,4.05,3.6,3.8,1633900,3.8,MAXCOMCPO.MX
2011-08-08,3.46,3.84,3.4,3.46,407000,3.46,MAXCOMCPO.MX
2011-08-09,3.57,3.62,3.36,3.57,1058900,3.57,MAXCOMCPO.MX
2011-08-10,3.47,3.57,3.39,3.47,54800,3.47,MAXCOMCPO.MX
2011-08-11,3.48,3.51,3.4,3.48,923300,3.48,MAXCOMCPO.MX
2011-08-12,3.39,3.49,3.38,3.39,208500,3.39,MAXCOMCPO.MX
2011-08-15,3.46,3.48,3.4,3.46,328700,3.46,MAXCOMCPO.MX
2011-08-16,3.51,3.56,3.38,3.51,715600,3.51,MAXCOMCPO.MX
2011-08-17,3.61,3.67,3.55,3.61,972100,3.61,MAXCOMCPO.MX
2011-08-18,3.52,3.54,3.43,3.52,861900,3.52,MAXCOMCPO.MX
2011-08-19,3.5,3.53,3.48,3.5,592900,3.5,MAXCOMCPO.MX
2011-08-22,3.4,3.58,3.37,3.4,279600,3.4,MAXCOMCPO.MX
