Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2009-02-23,3.1,3.1,3.1,3.1,24400,26.33,GBMO.MX
2009-02-24,3.1,3.1,3.1,3.1,500,26.33,GBMO.MX
2009-02-25,2.95,3.1,2.95,3.0,36300,25.48,GBMO.MX
2009-02-26,3.0,3.0,2.9,2.9,26800,24.63,GBMO.MX
2009-02-27,2.9,2.9,2.9,2.9,400,24.63,GBMO.MX
2009-03-02,2.53,2.85,2.53,2.85,1900,24.21,GBMO.MX
2009-03-03,2.65,2.65,2.65,2.65,0,22.51,GBMO.MX
2009-03-04,2.78,2.78,2.78,2.78,0,23.61,GBMO.MX
2009-03-05,2.5,2.55,2.5,2.5,11000,21.23,GBMO.MX
2009-03-06,2.5,2.5,2.5,2.5,34100,21.23,GBMO.MX
2009-03-09,2.5,2.5,2.5,2.5,0,21.23,GBMO.MX
2009-03-10,2.5,2.5,2.5,2.5,0,21.23,GBMO.MX
2009-03-11,2.5,2.5,2.5,2.5,0,21.23,GBMO.MX
2009-03-12,2.5,2.5,2.5,2.5,0,21.23,GBMO.MX
2009-03-13,2.5,2.6,2.4,2.6,12300,22.08,GBMO.MX
2009-03-17,2.6,2.6,2.6,2.6,0,22.08,GBMO.MX
2009-03-18,2.6,2.6,2.6,2.6,0,22.08,GBMO.MX
2009-03-19,2.7,2.7,2.7,2.7,4600,22.93,GBMO.MX
2009-03-20,2.7,2.7,2.7,2.7,200,22.93,GBMO.MX
2009-03-23,2.7,2.7,2.7,2.7,500,22.93,GBMO.MX
2009-03-24,2.7,2.8,2.7,2.8,1100,23.78,GBMO.MX
2009-03-25,2.79,2.79,2.78,2.78,3500,23.61,GBMO.MX
2009-03-26,2.75,2.75,2.7,2.7,6700,22.93,GBMO.MX
2009-03-27,2.65,2.69,2.6,2.6,28700,22.08,GBMO.MX
2009-03-30,2.7,2.7,2.7,2.7,0,22.93,GBMO.MX
2009-03-31,2.7,2.7,2.7,2.7,0,22.93,GBMO.MX
2009-04-01,2.7,2.8,2.7,2.7,9900,22.93,GBMO.MX
2009-04-02,2.7,2.7,2.7,2.7,8200,22.93,GBMO.MX
2009-04-03,2.7,2.7,2.7,2.7,0,22.93,GBMO.MX
2009-04-06,2.79,2.79,2.79,2.79,0,23.7,GBMO.MX
2009-04-07,2.79,2.79,2.79,2.79,11800,23.7,GBMO.MX
2009-04-08,2.46,2.79,2.46,2.79,1900,23.7,GBMO.MX
2009-04-10,2.79,2.79,2.79,2.79,0,23.7,GBMO.MX
2009-04-13,2.79,2.79,2.79,2.79,1600,23.7,GBMO.MX
2009-04-14,2.6,2.65,2.6,2.65,11800,22.51,GBMO.MX
2009-04-15,2.5,2.65,2.5,2.65,35500,22.51,GBMO.MX
2009-04-16,2.7,2.7,2.65,2.68,11500,22.76,GBMO.MX
2009-04-17,2.69,2.69,2.4,2.67,238700,22.68,GBMO.MX
2009-04-20,2.66,2.66,2.65,2.65,4800,22.51,GBMO.MX
2009-04-21,2.45,2.57,2.45,2.57,33900,21.83,GBMO.MX
2009-04-22,2.59,2.6,2.44,2.55,12200,21.66,GBMO.MX
2009-04-23,2.69,2.69,2.68,2.68,900,22.76,GBMO.MX
2009-04-24,2.45,2.81,2.45,2.7,71800,22.93,GBMO.MX
2009-04-27,2.7,2.7,2.7,2.7,5800,22.93,GBMO.MX
2009-04-28,2.75,2.75,2.75,2.75,0,23.36,GBMO.MX
2009-04-29,2.8,2.8,2.62,2.62,1800,22.25,GBMO.MX
